depart_id,employee_id,date_depart,motif_depart,duree_preavis_jours,anciennete_au_depart,departement,contrat,entretien_sortie,satisfaction_score,recommanderait_employeur,poste_pourvu
5306,2333,2024-12-31,Rupture conventionnelle,30,2.0,Marketing,CDD,Non,5,,Non
5307,2150,2024-12-31,Période d'essai non concluante,0,0.4,Finance,CDD,Oui,2,Oui,En cours
5308,2077,2022-04-19,Mutation,0,2.5,Logistique,Interim,Oui,4,Oui,Non
5309,2118,2017-11-09,Autre,30,1.3,Opérations,CDD,Oui,2,,Oui
5310,2705,2019-11-06,Fin de contrat,60,0.6,Logistique,CDI,Oui,2,,Non
5311,2453,2016-05-12,Démission,90,0.2,RH,CDI,Oui,4,Oui,Non
5312,2060,2023-03-05,Retraite,30,4.2,Logistique,CDI,Non,4,,Non
5313,1301,2024-12-31,Fin de contrat,30,2.6,Commercial,CDI,Oui,2,Oui,
5314,1966,2018-10-29,Mutation,0,1.2,Logistique,CDI,Non,3,Non,Oui
5315,2945,2024-12-31,Démission,60,2.9,R&D,CDI,Non,4,Oui,En cours
5316,1494,2020-08-10,Autre,0,1.2,Opérations,CDD,Oui,3,,Oui
5317,1194,2019-05-30,Retraite,90,3.5,R&D,CDI,Non,4,Oui,Non
5318,2295,2020-09-29,Démission,90,4.8,Informatique,Alternance,Oui,,Oui,
5319,1254,2020-12-30,Licenciement économique,90,5.5,Finance,CDD,Oui,2,Oui,Non
5320,2721,2024-12-31,Rupture conventionnelle,30,1.7,Opérations,CDI,Non,3,Non,En cours
5321,2503,2024-12-31,Démission,90,1.1,Informatique,Alternance,Non,3,Oui,Oui
5322,2630,2024-12-31,Démission,0,1.3,Finance,CDI,Oui,2,Non,
5323,1070,2024-07-06,Démission,90,3.1,Opérations,CDI,Non,1,,En cours
5324,2653,2021-02-08,Période d'essai non concluante,30,1.5,Finance,CDI,Oui,,Non,En cours
5325,3136,2024-12-31,Rupture conventionnelle,30,2.9,Finance,Alternance,Non,5,,Oui
5326,2469,2015-06-06,Licenciement économique,30,0.4,Logistique,CDI,Non,4,,En cours
5327,2324,2021-12-09,Rupture conventionnelle,90,0.2,Commercial,CDI,Non,2,Non,
5328,2765,2018-12-22,Autre,30,1.5,RH,CDI,Oui,,Oui,Oui
5329,1877,2024-12-31,Rupture conventionnelle,30,1.2,R&D,CDI,Non,,Non,En cours
5330,3136,2024-12-31,Démission,60,2.9,Finance,Alternance,Non,3,Non,
5331,2653,2022-01-02,Fin de contrat,0,2.4,Finance,CDI,Oui,4,Oui,En cours
5332,3123,2021-07-28,Autre,90,2.0,Commercial,CDI,Oui,4,,En cours
5333,1256,2021-04-04,Licenciement,90,3.2,Logistique,CDI,Oui,2,Non,Oui
5334,2016,2024-12-31,Licenciement,30,0.8,RH,CDD,Non,3,Oui,
5335,1655,2024-12-31,Mutation,90,1.0,Commercial,CDI,Non,4,,Oui
5336,3099,2021-11-30,Démission,30,3.1,Commercial,CDI,Oui,4,Non,En cours
5337,1684,2024-12-02,Autre,60,1.2,R&D,CDD,Oui,1,,
5338,1681,2024-12-31,Mutation,30,1.5,Logistique,CDI,Non,2,Oui,En cours
5339,2690,2024-02-29,Licenciement,30,6.7,Commercial,CDI,Oui,,,
5340,2822,2020-01-19,Retraite,0,2.0,Marketing,CDI,Oui,5,Oui,Oui
5341,2677,2020-09-02,Fin de contrat,60,2.5,Informatique,CDD,Oui,4,,
5342,2239,2019-04-06,Licenciement économique,60,2.2,Marketing,CDI,Non,4,Oui,En cours
5343,2930,2024-12-31,Retraite,30,3.3,Logistique,Stage,Oui,4,Oui,En cours
5344,2289,2019-04-14,Démission,30,2.5,Marketing,Alternance,Non,3,Oui,Oui
5345,2575,2020-02-12,Autre,30,4.0,Commercial,CDI,Non,1,Oui,
5346,2015,2021-02-04,Autre,60,2.2,RH,CDD,Non,2,Non,Oui
5347,2324,2024-12-31,Démission,60,3.3,Commercial,CDI,Non,1,Oui,Oui
5348,2776,2024-12-31,Retraite,30,0.7,Juridique,CDI,Oui,4,,
5349,2525,2024-12-31,Démission,30,2.1,Operations,CDD,Oui,3,,Non
5350,1642,2018-07-30,Fin de contrat,0,1.9,Juridique,CDI,Non,,Oui,Oui
5351,2502,2024-12-31,Démission,60,4.1,RH,CDI,Non,3,,
5352,2125,2024-12-31,Autre,90,0.9,Marketing,CDI,Oui,,Oui,Oui
5353,3281,2022-08-18,Rupture conventionnelle,30,5.6,Finance,CDD,Oui,1,,En cours
5354,2721,2024-12-31,Mutation,60,1.7,Opérations,CDI,Oui,4,,Oui
5355,1444,2024-12-31,Licenciement économique,90,2.3,Commercial,CDI,Oui,1,Non,Oui
5356,3056,2019-09-09,Fin de contrat,60,2.2,Marketing,CDD,Oui,,Non,Oui
5357,1015,2024-12-31,Retraite,60,1.0,Logistique,CDI,Non,5,Non,Non
5358,2659,2024-12-31,Mutation,0,3.3,Opérations,CDI,Oui,4,,En cours
5359,1298,2024-10-23,Rupture conventionnelle,60,1.9,R&D,CDI,Oui,2,Oui,Non
5360,3327,2024-12-31,Mutation,60,0.6,Commercial,CDI,Non,3,Non,En cours
5361,2036,2024-12-31,Rupture conventionnelle,60,0.4,Informatique,CDI,Non,4,Oui,
5362,1366,2022-01-28,Autre,60,6.3,Commercial,CDI,Oui,1,Oui,Non
5363,2565,2018-09-23,Rupture conventionnelle,30,2.4,Informatique,CDD,Non,5,Oui,Non
5364,1971,2021-03-11,Fin de contrat,60,2.3,Logistique,CDI,Non,5,Oui,Oui
5365,1927,2018-03-25,Rupture conventionnelle,30,2.4,Informatique,CDD,Non,5,,Non
5366,3189,2020-08-14,Licenciement,90,3.1,Finance,CDI,Non,5,,En cours
5367,2822,2024-09-20,Fin de contrat,90,6.7,Marketing,CDI,Non,2,,Non
5368,9080,2022-11-03,Rupture conventionnelle,30,2.8,Inconnu,Inconnu,Non,4,Oui,Oui
5369,9032,2020-06-05,Fin de contrat,30,0.4,Inconnu,Inconnu,Non,5,Non,
5370,9082,2020-03-23,Période d'essai non concluante,90,0.2,Inconnu,Inconnu,Non,,Oui,
5371,9050,2023-09-11,Mutation,30,3.7,Inconnu,Inconnu,Non,3,,Oui
5372,9030,2024-12-31,Fin de contrat,30,5.0,Inconnu,Inconnu,Non,1,,
5373,9000,2024-05-13,Rupture conventionnelle,30,4.4,Inconnu,Inconnu,Oui,3,Oui,Non
5374,9051,2024-12-31,Démission,30,5.0,Inconnu,Inconnu,Oui,,Oui,Oui
5375,9052,2024-06-03,Période d'essai non concluante,30,4.4,Inconnu,Inconnu,Non,1,,Oui
5376,9060,2022-08-24,Fin de contrat,60,2.6,Inconnu,Inconnu,Oui,3,Oui,Non
5377,9000,2024-06-30,Démission,30,4.5,Inconnu,Inconnu,Oui,3,Oui,Non
5378,9013,2020-09-04,Démission,90,0.7,Inconnu,Inconnu,Non,4,Oui,Oui
5379,9068,2024-12-31,Retraite,90,5.0,Inconnu,Inconnu,Non,3,Non,Non
